"Date","Building","Contents","Profits"
1989-01-03,1.02286198,0.1329382,0.127011008
1989-01-11,0.67739204,0.296359,0.084674005
1989-01-14,2.20152413,0.508044,0.254022015
1989-01-15,1.16342083,0.05165114,0.055884843
1989-01-17,0.42337003,2.54022,1.270110076
1989-01-19,2.54022015,0.1591871,0.211685013
1989-01-20,4.23370025,16.9348,3.386960203
1989-01-24,0.61388654,0.4360711,0.16934801
1989-01-26,1.27011008,3.132938,0.423370025
1989-02-02,1.10076207,0.2447079,0.177815411
1989-02-02,0.84674005,1.439458,0.397967824
1989-02-14,6.98560542,33.59695,1.508890771
1989-03-06,0.19898391,0.762066,0.16934801
1989-03-17,1.6934801,0.2286198,0.254022015
1989-03-23,8.46740051,9.009314,3.386960203
1989-03-23,1.27011008,0.5986452,0.025402202
1989-04-23,3.81033023,0.1828959,0.423370025
1989-04-26,1.6934801,8.467401,4.233700254
1989-05-11,3.04826418,6.07282,1.016088061
1989-05-15,2.28619814,1.354784,0.16934801
1989-05-23,1.27011008,1.27011,0.423370025
1989-05-25,2.54022015,0.4250635,0.372565622
1989-06-05,0.27519052,0.635055,0.211685013
1989-06-13,0.71972904,0.3471634,0.101608806
1989-06-13,2.11685013,4.2337,0.423370025
1989-06-17,3.06096528,0.42337,1.016088061
1989-06-17,1.70533446,0.254022,0.254022015
1989-06-23,0.25402202,1.524132,0.423370025
1989-07-10,1.30143946,0.7171888,0.113463167
1989-07-10,1.45639289,0.03725656,0.076206605
1989-07-13,0.99491956,0.1033023,0.154953429
1989-07-18,1.45639289,0.1574936,0.296359018
1989-07-22,1.6934801,0.592718,0.254022015
1989-07-23,1.62404742,0.2709568,0.592718036
1989-07-25,1.05842506,0.0338696,0.010160881
1989-07-28,4.23370025,7.493649,1.074513124
1989-08-03,0.51481795,0.338696,0.931414056
1989-08-04,5.0804403,8.467401,2.540220152
1989-08-05,1.10076207,0.254022,0.084674005
1989-08-05,0.59017782,1.27011,1.270110076
1989-08-08,2.07451312,0.5419136,0.16088061
1989-08-23,0.42337003,0.4360711,0.198983912
1989-08-23,0.37256562,0.5588484,0.186282811
1989-08-25,0.76206605,0.254022,0.084674005
1989-08-26,1.01608806,0.4301439,0.074513124
1989-08-28,2.11685013,1.27011,1.270110076
1989-09-04,0.42337003,0.42337,0.423370025
1989-09-04,2.65029636,0.784928,0.33869602
1989-09-11,4.9957663,1.185436,3.217612193
1989-09-14,1.28281118,3.640982,0.846740051
1989-09-18,1.31244708,0.2709568,0.296359018
1989-09-25,2.54022015,2.11685,0.592718036
1989-09-25,1.31244708,0.1718882,0.081287045
1989-09-27,0.76206605,0.8467401,1.312447079
1989-09-28,1.27011008,0.127011,0.381033023
1989-09-29,3.3869602,5.92718,2.370872142
1989-10-02,1.33784928,0.3022862,0.093141406
